codigo;archivo;imagen_url;url_origen
231;GOMA JELLY ROLL MISKY......x1k (cod 231 ).jpeg;/static/productos_img/GOMA JELLY ROLL MISKY......x1k (cod 231 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/R09NQSBKRUxMWSBST0xMIE1JU0tZLi4uLi4ueDFrIChjb2Q6IDIzMSAp.jpeg
232;GOMA EUCALIPTUS MISKY......x1k (cod 232 ).jpeg;/static/productos_img/GOMA EUCALIPTUS MISKY......x1k (cod 232 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/R09NQSBFVUNBTElQVFVTIE1JU0tZLi4uLi4ueDFrIChjb2Q6IDIzMiAp.jpeg
240;GOMAS LA PIÑATA HUESOS ACIDOS X 700 GR (cod 240 ).jpeg;/static/productos_img/GOMAS LA PIÑATA HUESOS ACIDOS X 700 GR (cod 240 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/R09NQVMgTEEgUEnDkUFUQSBIVUVTT1MgQUNJRE9TIFggNzAwIEdSIChjb2Q6IDI0MCAp.jpeg
241;GOMAS LA PIÑATA ANILLOS X 700 GR (cod 241 ).jpeg;/static/productos_img/GOMAS LA PIÑATA ANILLOS X 700 GR (cod 241 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/R09NQVMgTEEgUEnDkUFUQSBBTklMTE9TIFggNzAwIEdSIChjb2Q6IDI0MSAp.jpeg
250;GOMA BULL DOG.REGALIZ SANDIA CJAx12u (cod 250 ).jpeg;/static/productos_img/GOMA BULL DOG.REGALIZ SANDIA CJAx12u (cod 250 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/R09NQSBCVUxMIERPRy5SRUdBTElaIFNBTkRJQSBDSkF4MTJ1IChjb2Q6IDI1MCAp.jpeg
251;GOMA BULL DOG.REGALIZ FRUT.CJAx12u (cod 251 ).jpeg;/static/productos_img/GOMA BULL DOG.REGALIZ FRUT.CJAx12u (cod 251 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/R09NQSBCVUxMIERPRy5SRUdBTElaIEZSVVQuQ0pBeDEydSAoY29kOiAyNTEgKQ==.jpeg
252;GOMA BULL DOG.REGALIZ TUTTI F.CJAx12u (cod 252 ).jpeg;/static/productos_img/GOMA BULL DOG.REGALIZ TUTTI F.CJAx12u (cod 252 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/R09NQSBCVUxMIERPRy5SRUdBTElaIFRVVFRJIEYuQ0pBeDEydSAoY29kOiAyNTIgKQ==.jpeg
253;GOMA BULL DOG.REGALIZ FRAMB.CJAx12u (cod 253 ).jpeg;/static/productos_img/GOMA BULL DOG.REGALIZ FRAMB.CJAx12u (cod 253 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/R09NQSBCVUxMIERPRy5SRUdBTElaIEZSQU1CLkNKQXgxMnUgKGNvZDogMjUzICk=.jpeg
254;ROLLO GOMITA BILLIKEN FRUTx12u (cod 254 ).jpeg;/static/productos_img/ROLLO GOMITA BILLIKEN FRUTx12u (cod 254 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/Uk9MTE8gR09NSVRBIEJJTExJS0VOIEZSVVR4MTJ1IChjb2Q6IDI1NCAp.jpeg
260;(12ux35g)GOMA MISKY ROLL...... (cod 260 ).jpeg;/static/productos_img/(12ux35g)GOMA MISKY ROLL...... (cod 260 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/KDEydXgzNWcpR09NQSBNSVNLWSBST0xMLi4uLi4uIChjb2Q6IDI2MCAp.jpeg
266;MOGUL MORAS X 500G (cod 266 ).jpeg;/static/productos_img/MOGUL MORAS X 500G (cod 266 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/TU9HVUwgTU9SQVMgWCA1MDBHIChjb2Q6IDI2NiAp.jpeg
267;MOGUL DIENTES X 500G (cod 267 ).jpeg;/static/productos_img/MOGUL DIENTES X 500G (cod 267 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/TU9HVUwgRElFTlRFUyBYIDUwMEcgKGNvZDogMjY3ICk=.jpeg
268;MOGUL FRUTILLAS CON CREMA X 500G (cod 268 ).jpeg;/static/productos_img/MOGUL FRUTILLAS CON CREMA X 500G (cod 268 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/TU9HVUwgRlJVVElMTEFTIENPTiBDUkVNQSBYIDUwMEcgKGNvZDogMjY4ICk=.jpeg
269;MOGUL EXTREME SANDIA X 500G (cod 269 ).jpeg;/static/productos_img/MOGUL EXTREME SANDIA X 500G (cod 269 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/TU9HVUwgRVhUUkVNRSBTQU5ESUEgIFggNTAwRyAoY29kOiAyNjkgKQ==.jpeg
270;MOGUL EXTREME LADRILLOS X 500G (cod 270 ).jpeg;/static/productos_img/MOGUL EXTREME LADRILLOS X 500G (cod 270 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/TU9HVUwgRVhUUkVNRSBMQURSSUxMT1MgWCA1MDBHIChjb2Q6IDI3MCAp.jpeg
271;MOGUL EXTREME LADRILLOS MIX FRUTAL X 500G (cod 271 ).jpeg;/static/productos_img/MOGUL EXTREME LADRILLOS MIX FRUTAL X 500G (cod 271 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/TU9HVUwgRVhUUkVNRSBMQURSSUxMT1MgTUlYIEZSVVRBTCBYIDUwMEcgKGNvZDogMjcxICk=.jpeg
272;MOGUL EXTREME TUBITOS FRUTILLA X 500G (cod 272 ).jpeg;/static/productos_img/MOGUL EXTREME TUBITOS FRUTILLA X 500G (cod 272 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/TU9HVUwgRVhUUkVNRSBUVUJJVE9TIEZSVVRJTExBICBYIDUwMEcgKGNvZDogMjcyICk=.jpeg
273;MOGUL EXTREME TUBITOS MIX FRUTAL X 500G (cod 273 ).jpeg;/static/productos_img/MOGUL EXTREME TUBITOS MIX FRUTAL X 500G (cod 273 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/TU9HVUwgRVhUUkVNRSBUVUJJVE9TIE1JWCBGUlVUQUwgWCA1MDBHIChjb2Q6IDI3MyAp.jpeg
274;MOGUL JELLY BEANS X 500G (cod 274 ).jpeg;/static/productos_img/MOGUL JELLY BEANS X 500G (cod 274 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/TU9HVUwgSkVMTFkgQkVBTlMgWCA1MDBHIChjb2Q6IDI3NCAp.jpeg
275;MOGUL EXTREME OSITOS X 500G (cod 275 ).jpeg;/static/productos_img/MOGUL EXTREME OSITOS X 500G (cod 275 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/TU9HVUwgRVhUUkVNRSBPU0lUT1MgWCA1MDBHIChjb2Q6IDI3NSAp.jpeg
276;MOGUL FRUTILLA ACIDA.....x500g (cod 276 ).jpeg;/static/productos_img/MOGUL FRUTILLA ACIDA.....x500g (cod 276 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/TU9HVUwgRlJVVElMTEEgQUNJREEuLi4uLng1MDBnIChjb2Q6IDI3NiAp.jpeg
277;MOGUL OSITOS X 500 (cod 277 ).jpeg;/static/productos_img/MOGUL OSITOS X 500 (cod 277 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/TU9HVUwgT1NJVE9TIFggNTAwIChjb2Q6IDI3NyAp.jpeg
281;GOMAS MOGUL COLA X 12 UNIDADES (cod 281 ).jpeg;/static/productos_img/GOMAS MOGUL COLA X 12 UNIDADES (cod 281 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/R09NQVMgTU9HVUwgQ09MQSBYIDEyIFVOSURBREVTIChjb2Q6IDI4MSAp.jpeg
282;YUMMY OJITOS CAJA.....x360g (cod 282 ).jpeg;/static/productos_img/YUMMY OJITOS CAJA.....x360g (cod 282 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/WVVNTVkgT0pJVE9TIENBSkEuLi4uLngzNjBnIChjb2Q6IDI4MiAp.jpeg
283;CARAM.GOMA JELLY STICKS FRUT.x10u (cod 283 ).jpeg;/static/productos_img/CARAM.GOMA JELLY STICKS FRUT.x10u (cod 283 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/Q0FSQU0uR09NQSBKRUxMWSBTVElDS1MgRlJVVC54MTB1IChjb2Q6IDI4MyAp.jpeg
284;YUMMY ROLLO SURTIDOSx12u (cod 284 ).jpeg;/static/productos_img/YUMMY ROLLO SURTIDOSx12u (cod 284 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/WVVNTVkgUk9MTE8gU1VSVElET1N4MTJ1IChjb2Q6IDI4NCAp.jpeg
285;GOMITA DOCILE MIX DULCE ACIDO.x500g (cod 285 ).jpeg;/static/productos_img/GOMITA DOCILE MIX DULCE ACIDO.x500g (cod 285 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/R09NSVRBIERPQ0lMRSBNSVggRFVMQ0UvQUNJRE8ueDUwMGcgKGNvZDogMjg1ICk=.jpeg
286;GOMITA DOCILE GAJOS SURTIDO..x500g (cod 286 ).jpeg;/static/productos_img/GOMITA DOCILE GAJOS SURTIDO..x500g (cod 286 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/R09NSVRBIERPQ0lMRSBHQUpPUyBTVVJUSURPLi54NTAwZyAoY29kOiAyODYgKQ==.jpeg
287;GOMITA DOCILE CONITO SINO SURTIDO..x500g (cod 287 ).jpeg;/static/productos_img/GOMITA DOCILE CONITO SINO SURTIDO..x500g (cod 287 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/R09NSVRBIERPQ0lMRSBDT05JVE8gU0lOTyBTVVJUSURPLi54NTAwZyAoY29kOiAyODcgKQ==.jpeg
